Crops,Crop,Crop Year,District Name,Season,Soil,State Name,Type Of  Watersource,Type Of Crop,Area,ARIYALUR,CAUVERY,CHENGLEPUT,COIMBATORE,Cropduration Max,Cropduration Min,CUDDALORE,DHARMAPURI,DINDIGUL,ERODE,HILLY REGIONS OF SHEVROY,JAWAD HILLS,KANCHEEPURAM,KANYAKUMARI,KARUR,KOLLI HILLS,KRISHNAGIRI,MADURAI,Max Temp,Min Temp,NAGAPATTINAM,NAMAKAL,PERAMBALUR,Production,PUDUKKOTTAI,RAMANATHANPURAM,Relative Humidity Max,Relative Humidity Min,SALEM,SIVAGANGAI,Soil Ph High,Soil Ph Low,TANJORE,THALAVADI HILLS,THE NILGRIS,THENI,THIRUCHIRAPALLI,THIRUNELVELI,THIRUPPUR,THIRUVALLUR,THIRUVANNAMALAI,THOOTHUKUDI,TIRUVARUR,VELLORE,VILLUPURAM,VIRUDHUNAGAR,Water Required Min,Waterrequired Max
onion,Onion,2013,ARIYALUR,Kharif, Any Loamy,Tamil Nadu,both,vegetables,36,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,419,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
ragi,Ragi,2013,ARIYALUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,38,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,104,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2013,ARIYALUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,24437,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,131658,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,2013,ARIYALUR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,76,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,137,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
groundnut,Groundnut,2013,ARIYALUR,Rabi,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,3571,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,21760,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2013,ARIYALUR,Rabi,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,615,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,3076,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
onion,Onion,2013,ARIYALUR,Rabi, Any Loamy,Tamil Nadu,both,vegetables,7,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,59,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
ragi,Ragi,2013,ARIYALUR,Rabi,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,11,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,44,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
sunflower,Sunflower,2013,ARIYALUR,Rabi,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,1,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,1,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
sugarcane,Sugarcane,2013,ARIYALUR,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,9875,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1112304,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
onion,Onion,1997,COIMBATORE,Kharif, Any Loamy,Tamil Nadu,both,vegetables,2813,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,37188,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
tobacco,Tobacco,1997,COIMBATORE,Kharif,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,936,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,1620,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
groundnut,Groundnut,1997,COIMBATORE,Whole Year,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,33861,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,43150,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,1997,COIMBATORE,Whole Year,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,15763,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,17720,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
onion,Onion,1997,COIMBATORE,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,1680,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,20960,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
ragi,Ragi,1997,COIMBATORE,Whole Year,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,401,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,800,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,1997,COIMBATORE,Whole Year,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,18703,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,57670,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sugarcane,Sugarcane,1997,COIMBATORE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,10756,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,12272000,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sunflower,Sunflower,1997,COIMBATORE,Whole Year,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,457,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,460,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
tobacco,Tobacco,1997,COIMBATORE,Whole Year,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,844,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,1250,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
groundnut,Groundnut,1998,COIMBATORE,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,39937,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,69248,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,1998,COIMBATORE,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,18828,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,21163,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,1998,COIMBATORE,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,510,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,1271,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,1998,COIMBATORE,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,15034,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,51575,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,1998,COIMBATORE,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,191,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,197,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
wheat,Wheat,1998,COIMBATORE,Rabi,Well Drained,Tamil Nadu,both,cereals,20,0,0,0,1,90,80,0,1,1,1,0,0,1,0,1,0,0,0,24,21,0,0,0,1,0,0,60,50,1,0,7,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,450,650
onion,Onion,1998,COIMBATORE,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,3093,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,38591,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,1998,COIMBATORE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,13193,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1467460,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
tobacco,Tobacco,1998,COIMBATORE,Whole Year,Well drained sandy loam and clayey loam soils,Tamil Nadu,both,other crops,461,0,0,0,1,100,90,0,0,0,0,0,0,0,0,0,0,0,1,32,26,0,0,0,687,0,0,80,70,1,0,8.5,7.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800,1000
groundnut,Groundnut,1999,COIMBATORE,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,36123,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,55110,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,1999,COIMBATORE,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,19841,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,22328,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,1999,COIMBATORE,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,419,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,449,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,1999,COIMBATORE,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,16875,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,60494,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,1999,COIMBATORE,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,978,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,984,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
samai,Samai,1999,COIMBATORE,Rabi,Loamy Soil,Tamil Nadu,both,millets,134,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,73,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
wheat,Wheat,1999,COIMBATORE,Rabi,Well Drained,Tamil Nadu,both,cereals,9,0,0,0,1,90,80,0,1,1,1,0,0,1,0,1,0,0,0,24,21,0,0,0,4,0,0,60,50,1,0,7,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,450,650
onion,Onion,1999,COIMBATORE,Whole Year, Any Loamy,Tamil Nadu,both,vegetables,2813,1,1,1,1,120,100,1,1,1,1,1,1,1,1,1,1,1,1,25,20,1,1,1,37188,1,1,85,75,1,1,6.5,5.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,550
sugarcane,Sugarcane,1999,COIMBATORE,Whole Year,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,Tamil Nadu,irrigated,sugar crops,11939,1,1,1,1,330,300,1,1,1,1,1,1,1,0,1,1,1,1,27,21,1,1,1,1195037,1,1,80,65,1,1,8,6.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1500,2500
sweet potato,Sweet potato,1999,COIMBATORE,Whole Year,well-drained soil,Tamil Nadu,both,Root&tuber,2,1,1,1,1,120,90,1,1,1,1,1,1,1,1,1,1,1,1,26,21,1,1,1,24,1,1,90,85,1,1,6.7,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000
